case_number,plot,focal_node,focal_area_id,school_id,centroid_node,centroid_area_id,distance_to_centroid_miles,plot_radius_miles,closer_candidate_count
165,case_0165_block_60750159001007_school_790.png,1175,60750159001007,790,344,60750111003002,0.6015455907367694,,0
166,case_0166_block_60750159001007_school_801.png,1175,60750159001007,801,101,60750103001013,1.372039306491828,,0
167,case_0167_block_60750159001007_school_823.png,1175,60750159001007,823,757,60750130001002,0.9538446376005804,,0
168,case_0168_block_60750159001007_school_830.png,1175,60750159001007,830,2905,60750231031006,4.203822609054556,,0
169,case_0169_block_60750159001007_school_834.png,1175,60750159001007,834,317,60750110002005,0.8580588482678373,,0
170,case_0170_block_60750159001007_school_859.png,1175,60750159001007,859,537,60750124022001,0.4876261181452977,,0
171,case_0171_block_60750159001007_school_872.png,1175,60750159001007,872,206,60750106002000,1.7154324926694893,,0
172,case_0172_block_60750159001007_school_999.png,1175,60750159001007,999,6635,60750607001031,2.032971370216404,,0
173,case_0173_block_60750171012003_school_456.png,1480,60750171012003,456,2776,60750229032009,2.3819592222667696,,0
174,case_0174_block_60750171012003_school_490.png,1480,60750171012003,490,375,60750113002001,2.939411676305125,,0
175,case_0175_block_60750171012003_school_497.png,1480,60750171012003,497,2594,60750227022009,2.719440452730652,,0
176,case_0176_block_60750171012003_school_525.png,1480,60750171012003,525,965,60750153001002,1.718068011706429,,0
177,case_0177_block_60750171012003_school_562.png,1480,60750171012003,562,142,60750104003012,3.407679873739239,,0
178,case_0178_block_60750171012003_school_603.png,1480,60750171012003,603,2712,60750228031005,1.7744017541134047,,0
179,case_0179_block_60750171012003_school_638.png,1480,60750171012003,638,238,60750107002003,3.0341736048462664,,0
180,case_0180_block_60750171012003_school_650.png,1480,60750171012003,650,1417,60750168022001,1.1908722887414032,,0
181,case_0181_block_60750171012003_school_680.png,1480,60750171012003,680,3150,60750252001002,2.098992621621919,,0
182,case_0182_block_60750171012003_school_718.png,1480,60750171012003,718,1450,60750170001006,0.5543339365000065,,0
183,case_0183_block_60750171012003_school_723.png,1480,60750171012003,723,2707,60750228031000,1.846005384102272,,0
184,case_0184_block_60750171012003_school_735.png,1480,60750171012003,735,1320,60750165003002,0.7756330871637873,,0
185,case_0185_block_60750171012003_school_786.png,1480,60750171012003,786,1171,60750159001003,1.6487784657082416,,0
186,case_0186_block_60750171012003_school_790.png,1480,60750171012003,790,344,60750111003002,2.2979083636220525,,0
187,case_0187_block_60750171012003_school_801.png,1480,60750171012003,801,101,60750103001013,3.083964727335532,,0
188,case_0188_block_60750171012003_school_816.png,1480,60750171012003,816,1974,60750203002001,0.8655812583364019,,0
189,case_0189_block_60750171012003_school_823.png,1480,60750171012003,823,757,60750130001002,2.6022336494525087,,0
190,case_0190_block_60750171012003_school_830.png,1480,60750171012003,830,2905,60750231031006,3.986598582953749,,0
191,case_0191_block_60750171012003_school_834.png,1480,60750171012003,834,317,60750110002005,2.574952578563587,,0
192,case_0192_block_60750171012003_school_838.png,1480,60750171012003,838,6848,60750614001002,2.635836844563845,,0
193,case_0193_block_60750171012003_school_859.png,1480,60750171012003,859,537,60750124022001,1.9048758342482688,,0
194,case_0194_block_60750171012003_school_872.png,1480,60750171012003,872,206,60750106002000,3.380874586631927,,0
195,case_0195_block_60750171012003_school_999.png,1480,60750171012003,999,6635,60750607001031,2.8220926800380552,,0
196,case_0196_block_60750171012004_school_478.png,1481,60750171012004,478,4283,60750301022010,0.820625962354074,,0
197,case_0197_block_60750171012004_school_488.png,1481,60750171012004,488,4863,60750309005018,2.5657308145300566,,0
198,case_0198_block_60750171012004_school_539.png,1481,60750171012004,539,5505,60750330002005,2.502008481543869,,0
199,case_0199_block_60750171012004_school_544.png,1481,60750171012004,544,5762,60750351004006,3.0845386514976805,,0
200,case_0200_block_60750171012004_school_644.png,1481,60750171012004,644,4319,60750302012005,1.6736576898530169,,0
201,case_0201_block_60750171012004_school_670.png,1481,60750171012004,670,5647,60750332011002,3.0225292235387435,,0
202,case_0202_block_60750171012004_school_691.png,1481,60750171012004,691,4093,60750263031002,3.648985950704258,,0
203,case_0203_block_60750171012004_school_722.png,1481,60750171012004,722,4625,60750307001022,1.6862609501038484,,0
204,case_0204_block_60750171012004_school_746.png,1481,60750171012004,746,5155,60750313021003,3.3657170527396327,,0
205,case_0205_block_60750171012004_school_750.png,1481,60750171012004,750,5849,60750353001001,2.972241751542221,,0
206,case_0206_block_60750171012004_school_782.png,1481,60750171012004,782,5427,60750329011006,2.738019879584988,,0
207,case_0207_block_60750171012004_school_820.png,1481,60750171012004,820,5240,60750314004002,3.441771673074145,,0
208,case_0208_block_60750171012004_school_842.png,1481,60750171012004,842,5035,60750311004007,2.252552908646112,,0
209,case_0209_block_60750171012004_school_862.png,1481,60750171012004,862,5874,60750353003005,3.3923370086186857,,0
210,case_0210_block_60750171012004_school_876.png,1481,60750171012004,876,4672,60750308001002,1.705875716137612,,0
211,case_0211_block_60750179021005_school_488.png,1724,60750179021005,488,4863,60750309005018,5.377119023778708,,0
212,case_0212_block_60750179021005_school_575.png,1724,60750179021005,575,4995,60750311001020,3.469376995776688,,0
213,case_0213_block_60750179021005_school_656.png,1724,60750179021005,656,3265,60750254013000,2.725872392523069,,0
214,case_0214_block_60750179021005_school_670.png,1724,60750179021005,670,5647,60750332011002,5.999711877898419,,0
215,case_0215_block_60750179021005_school_842.png,1724,60750179021005,842,5035,60750311004007,4.149362367349216,,0
216,case_0216_block_60750179021012_school_420.png,1729,60750179021012,420,2297,60750212003004,5.852183601372619,,0
217,case_0217_block_60750179021012_school_453.png,1729,60750179021012,453,3058,60750234002018,7.101239586587333,,0
218,case_0218_block_60750179021012_school_456.png,1729,60750179021012,456,2776,60750229032009,5.111810467676595,,0
